"year","doy","hour","zen","direct_n","diffuse","par","temp","rh","windspeed","pressure","zen_clean","direct_n_clean","diffuse_clean","par_clean","temp_clean","rh_clean","windspeed_clean","pressure_clean"
1996,1,0,154.465,-0.06,NA,-0.37,0.885,NA,3.69,983.27,154.465,-0.06,NA,-0.37,0.885,98.42,3.69,983.27
1996,1,1,161.568,0.095,NA,-0.405,0.775,NA,2.84,983.75,161.568,0.095,NA,-0.405,0.775,94.5625,2.84,983.75
1996,1,2,161.5175,-0.025,NA,-0.41,0.67,NA,2.79,984.085,161.5175,-0.025,NA,-0.41,0.67,93.9625,2.79,984.085
1996,1,3,154.352,0.045,NA,-0.45,0.655,NA,4.35,983.76,154.352,0.045,NA,-0.45,0.655,93.24,4.35,983.76
1996,1,4,144.079,0.025,NA,-0.455,0.68,NA,4.305,984.015,144.079,0.025,NA,-0.455,0.68,93.4175,4.305,984.015
1996,1,5,132.837,-0.015,NA,-0.465,0.64,NA,3.925,983.92,132.837,-0.015,NA,-0.465,0.64,94.7875,3.925,983.92
1996,1,6,121.385,0,NA,-0.41,0.67,NA,4.655,983.705,121.385,0,NA,-0.41,0.67,99.6816666666667,4.655,983.705
1996,1,7,110.079,0.005,NA,-0.41,0.695,NA,5.115,983.43,110.079,0.005,NA,-0.41,0.695,99.5866666666667,5.115,983.43
1996,1,8,99.1875,0.005,NA,-0.4,0.655,NA,5.185,983.76,99.1875,0.005,NA,-0.4,0.655,97.41125,5.185,983.76
1996,1,9,88.761,0.035,NA,1.22,0.565,NA,4.92,983.95,88.761,0.035,NA,1.22,0.565,97.5482142857143,4.92,983.95
1996,1,10,79.743,0.21,NA,11.32,0.65,NA,4.585,984.45,79.743,0.21,NA,11.32,0.65,99.4782352941176,4.585,984.45
1996,1,11,72.1245,0.205,NA,18.52,0.705,NA,4.455,984.97,72.1245,0.205,NA,18.52,0.705,98.4466666666667,4.455,984.97
1996,1,12,66.5305,0.4,NA,30.87,0.71,NA,4.515,984.73,66.5305,0.4,NA,30.87,0.71,97.16,4.515,984.73
1996,1,13,63.546,0.385,NA,31.125,0.745,NA,4.955,984.225,63.546,0.385,NA,31.125,0.745,95.615,4.955,984.225
1996,1,14,63.548,0.28,NA,36.045,0.88,NA,5.495,983.295,63.548,0.28,NA,36.045,0.88,92.6766666666667,5.495,983.295
1996,1,15,66.5385,0.145,NA,22.07,0.99,NA,5.16,983.035,66.5385,0.145,NA,22.07,0.99,92.4083333333333,5.16,983.035
1996,1,16,72.1345,0.135,NA,22.915,1.145,NA,6.295,982.715,72.1345,0.135,NA,22.915,1.145,94.8414705882353,6.295,982.715
1996,1,17,79.7535,0.105,NA,15.135,1.23,NA,7.165,982.62,79.7535,0.105,NA,15.135,1.23,84.5425,7.165,982.62
