"year","doy","hour","zen","direct_n","diffuse","par","temp","rh","windspeed","pressure","zen_clean","direct_n_clean","diffuse_clean","par_clean","temp_clean","rh_clean","windspeed_clean","pressure_clean"
2006,1,0,162.5745,0.405,-0.985,0.215,-0.245,90.845,3.665,985.12,162.5745,0.405,-0.985,0.215,-0.245,90.845,3.665,985.12
2006,1,1,158.5495,1.035,-0.81,0.245,-0.335,91.535,4.195,985.29,158.5495,1.035,-0.81,0.245,-0.335,91.535,4.195,985.29
2006,1,2,149.4305,0.585,-0.925,0.295,-0.185,92.035,3.83,985.545,149.4305,0.585,-0.925,0.295,-0.185,92.035,3.83,985.545
2006,1,3,138.5355,0.67,-0.945,0.3,-0.005,92.945,4.1,985.285,138.5355,0.67,-0.945,0.3,-0.005,92.945,4.1,985.285
2006,1,4,127.1325,0.52,-0.955,0.31,0.315,91.75,4.155,984.88,127.1325,0.52,-0.955,0.31,0.315,91.75,4.155,984.88
2006,1,5,115.716,0.41,-1.045,0.315,0.375,92.45,4.755,984.345,115.716,0.41,-1.045,0.315,0.375,92.45,4.755,984.345
2006,1,6,104.5815,0.415,-1.06,0.3,0.89,89.745,5.56,984,104.5815,0.415,-1.06,0.3,0.89,89.745,5.56,984
2006,1,7,93.879,0.34,-0.215,0.71,1.02,88.62,5.71,983.69,93.879,0.34,-0.215,0.71,1.02,88.62,5.71,983.69
2006,1,8,84.088,2.595,26.535,12.61,0.865,90.115,5.72,983.89,84.088,2.595,26.535,12.61,0.865,90.115,5.72,983.89
2006,1,9,75.712,0.99,67.865,31.85,1.435,87.705,6.65,983.715,75.712,0.99,67.865,31.85,1.435,87.705,6.65,983.715
2006,1,10,69.016,0.585,81.19,39.3,2.205,84.52,7.25,983.27,69.016,0.585,81.19,39.3,2.205,84.52,7.25,983.27
2006,1,11,64.646,2.61,146.19,69.865,3.6,78.59,8.09,982.38,64.646,2.61,146.19,69.865,3.6,78.59,8.09,982.38
2006,1,12,63.1155,1.785,154.59,72.995,5.76,72.6,9.06,980.79,63.1155,1.785,154.59,72.995,5.76,72.6,9.06,980.79
2006,1,13,64.625,1.45,145.22,68.435,7.385,70.025,7.885,979.765,64.625,1.45,145.22,68.435,7.385,70.025,7.885,979.765
2006,1,14,68.9755,0.53,100.675,48.435,8.37,71.025,7.41,979.145,68.9755,0.53,100.675,48.435,8.37,71.025,7.41,979.145
2006,1,15,75.6595,-0.2,33.775,17.275,8.605,74.875,7.35,978.875,75.6595,-0.2,33.775,17.275,8.605,74.875,7.35,978.875
2006,1,16,84.0255,-0.095,10.2,5.495,8.715,75.835,8.65,978.055,84.0255,-0.095,10.2,5.495,8.715,75.835,8.65,978.055
2006,1,17,93.81,0.245,-0.82,0.26,9.02,78.805,8.245,977.9,93.81,0.245,-0.82,0.26,9.02,78.805,8.245,977.9
2006,1,18,104.503,-0.17,-1.295,0.18,9.015,81.13,6.84,978.265,104.503,-0.17,-1.295,0.18,9.015,81.13,6.84,978.265
2006,1,19,115.6355,0.225,-1.21,0.235,9.315,82.94,7.02,977.965,115.6355,0.225,-1.21,0.235,9.315,82.94,7.02,977.965
2006,1,20,127.047,0.055,-1.275,0.285,9.46,84.85,6.99,977.77,127.047,0.055,-1.275,0.285,9.46,84.85,6.99,977.77
2006,1,21,138.4465,0.185,-1.26,0.29,9.775,85.52,7.59,977.39,138.4465,0.185,-1.26,0.29,9.775,85.52,7.59,977.39
2006,1,22,149.3355,0.335,-1.19,0.375,10.225,87.195,6.74,977.335,149.3355,0.335,-1.19,0.375,10.225,87.195,6.74,977.335
2006,1,23,158.449,-0.11,-1.295,0.44,10.58,89.705,6.625,976.86,158.449,-0.11,-1.295,0.44,10.58,89.705,6.625,976.86
2006,2,0,162.4915,0.17,-1.21,0.57,10.555,92.49,5.795,976.245,162.4915,0.17,-1.21,0.57,10.555,92.49,5.795,976.245
2006,2,1,158.534,0.81,-1,0.705,11.845,92.385,5.98,975.58,158.534,0.81,-1,0.705,11.845,92.385,5.98,975.58
2006,2,2,149.4545,-0.32,-1.345,0.7,11.88,93.095,6.045,975.035,149.4545,-0.32,-1.345,0.7,11.88,93.095,6.045,975.035
2006,2,3,138.574,0.175,-1.17,0.69,12.05,94.815,5.78,974.64,138.574,0.175,-1.17,0.69,12.05,94.815,5.78,974.64
2006,2,4,127.1735,-0.18,-1.31,0.635,11.925,96.49,5.685,973.725,127.1735,-0.18,-1.31,0.635,11.925,96.49,5.685,973.725
2006,2,5,115.754,0.715,-1.025,0.62,12.405,97.285,6.895,973.06,115.754,0.715,-1.025,0.62,12.405,97.285,6.895,973.06
2006,2,6,104.613,0.505,-1.085,0.615,13.57,96.22,6.715,972.46,104.613,0.505,-1.085,0.615,13.57,96.22,6.715,972.46
2006,2,7,93.898,-0.03,-0.7,0.95,13.555,95.93,6.005,972.26,93.898,-0.03,-0.7,0.95,13.555,95.93,6.005,972.26
2006,2,8,84.0925,0.55,22.085,10.93,14.11,95.015,6.73,972.06,84.0925,0.55,22.085,10.93,14.11,95.015,6.73,972.06
2006,2,9,75.6995,2.41,97.77,45.415,15.25,94.155,6.615,972.165,75.6995,2.41,97.77,45.415,15.25,94.155,6.615,972.165
2006,2,10,68.978,-2.07,20.88,12.515,15.62,87.055,7.445,972.04,68.978,-2.07,20.88,12.515,15.62,87.055,7.445,972.04
2006,2,11,64.5825,-0.36,83.495,41.45,13.89,84.72,6.57,971.235,64.5825,-0.36,83.495,41.45,13.89,84.72,6.57,971.235
2006,2,12,63.0255,94.55,225.18,123.31,13.51,87.73,6.185,970.665,63.0255,94.55,225.18,123.31,13.51,87.73,6.185,970.665
2006,2,13,64.516,392.59,162.88,150.29,13.865,78.205,7.16,970.37,64.516,392.59,162.88,150.29,13.865,78.205,7.16,970.37
