"from_pyranometer","from_pyranometer_percent","from_interpolation","from_interpolation_percent","total_counts","year"
319,100,0,0,319,1989
365,100,0,0,365,1990
365,100,0,0,365,1991
366,100,0,0,366,1992
365,100,0,0,365,1993
365,100,0,0,365,1994
365,100,0,0,365,1995
366,100,0,0,366,1996
365,100,0,0,365,1997
365,100,0,0,365,1998
365,100,0,0,365,1999
366,100,0,0,366,2000
365,100,0,0,365,2001
365,100,0,0,365,2002
365,100,0,0,365,2003
366,100,0,0,366,2004
365,100,0,0,365,2005
365,100,0,0,365,2006
365,100,0,0,365,2007
366,100,0,0,366,2008
365,100,0,0,365,2009
365,100,0,0,365,2010
365,100,0,0,365,2011
364,99.4535519125683,2,0.546448087431694,366,2012
365,100,0,0,365,2013
360,98.6301369863014,5,1.36986301369863,365,2014
365,100,0,0,365,2015
366,100,0,0,366,2016
365,100,0,0,365,2017
365,100,0,0,365,2018
364,99.7260273972603,1,0.273972602739726,365,2019
