"grimm_N_min","grimm_N_opt","error"
5.65,7.98,15961.9097222222
5.65,8.38,15961.9097222222
5.65,8.78,15961.9097222222
5.65,9.18,15456.7916666667
5.65,9.58,11870.2239583333
5.65,9.98,6945.34027777778
5.65,10.38,3028.12847222222
5.65,10.78,768.611111111111
5.65,11.18,249.895833333333
5.65,11.58,1462.16666666667
5.65,11.98,4349.03125
6.05,7.98,15961.9097222222
6.05,8.38,15961.9097222222
6.05,8.78,15961.9097222222
6.05,9.18,15394.796875
6.05,9.58,11418.9982638889
6.05,9.98,6131.28819444444
6.05,10.38,2213.14756944445
6.05,10.78,380.090277777778
6.05,11.18,750.315972222221
6.05,11.58,3251.28472222222
6.05,11.98,7789.53645833333
6.45,7.98,15961.9097222222
6.45,8.38,15961.9097222222
6.45,8.78,15961.9097222222
6.45,9.18,15312.5885416667
6.45,9.58,10870.3888888889
6.45,9.98,5197.99479166667
6.45,10.38,1407.53125
6.45,10.78,357.14236111111
6.45,11.18,2123.76215277778
6.45,11.58,6577.86111111111
6.45,11.98,13507.7881944444
6.85,7.98,15961.9097222222
6.85,8.38,15961.9097222222
6.85,8.78,15961.9097222222
6.85,9.18,15200.7569444444
6.85,9.58,10169.5763888889
6.85,9.98,4107.49479166667
6.85,10.38,766.571180555556
6.85,10.78,1120.5625
6.85,11.18,5171.57291666666
6.85,11.58,12607.6006944444
6.85,11.98,23259.96875
7.25,7.98,15961.9097222222
7.25,8.38,15961.9097222222
7.25,8.78,15961.9097222222
7.25,9.18,15029.2777777778
7.25,9.58,9260.57465277778
7.25,9.98,2907.078125
7.25,10.38,661.934027777777
7.25,10.78,3595.23611111111
7.25,11.18,11479.9826388889
7.25,11.58,23815.375
7.25,11.98,39966.5989583333
7.65,7.98,15961.9097222222
7.65,8.38,15961.9097222222
7.65,8.78,15961.9097222222
7.65,9.18,14783.7534722222
7.65,9.58,8034.02430555556
7.65,9.98,1817.40277777778
7.65,10.38,2128.62847222222
7.65,10.78,10018.9965277778
7.65,11.18,24657.3489583333
7.65,11.58,44847.8472222222
7.65,11.98,69552.2725694444
8.05,7.98,15961.9097222222
8.05,8.38,15961.9097222222
8.05,8.78,15961.9097222222
8.05,9.18,14385.9027777778
8.05,9.58,6374.18402777778
8.05,9.98,1693.16319444444
8.05,10.38,8190.20138888889
8.05,10.78,26073.0625
8.05,11.18,52648.4288194444
8.05,11.58,85333.4947916667
8.05,11.98,122122.626736111
8.45,7.98,15961.9097222222
8.45,8.38,15961.9097222222
8.45,8.78,15961.9097222222
8.45,9.18,13587.1545138889
8.45,9.58,4477.28993055555
8.45,9.98,6447.84027777778
8.45,10.38,28838.1197916667
8.45,10.78,66671.9600694444
8.45,11.18,112324.902777778
8.45,11.58,161694.486111111
8.45,11.98,214390.565972222
8.85,7.98,15961.9097222222
8.85,8.38,15961.9097222222
8.85,8.78,15961.9097222222
8.85,9.18,11215.4253472222
8.85,9.58,7404.05034722222
8.85,9.98,37218.5190972222
8.85,10.38,95755.21875
8.85,10.78,161889.916666667
8.85,11.18,229936.831597222
8.85,11.58,300450.366319444
8.85,11.98,374324.907986111
9.25,7.98,22300.6371527778
9.25,8.38,22300.6371527778
9.25,8.78,22300.6371527778
9.25,9.18,22300.6371527778
9.25,9.58,63716.8263888889
9.25,9.98,145132.743055556
9.25,10.38,230206.302083333
9.25,10.78,322650.868055556
9.25,11.18,420095.944444444
9.25,11.58,523078.663194444
9.25,11.98,627929.902777778
9.65,7.98,181863.727430556
9.65,8.38,181863.727430556
9.65,8.78,181863.727430556
9.65,9.18,181863.727430556
9.65,9.58,181863.727430556
9.65,9.98,254427.892361111
9.65,10.38,349560.586805556
9.65,10.78,474952.300347222
9.65,11.18,613529.157986111
9.65,11.58,743036.493055556
9.65,11.98,865992.897569444
