 Bondville
   40.05  -88.37  213 m version 1
 2016 169  6 17 23 31 23.517  70.72   271.7 0    76.1 0   692.9 0    58.5 0   366.9 0   304.0 0   303.6 0   459.3 0   302.9 0   303.0 0    17.9 0   123.0 0   211.2 0   -92.4 0   118.7 0    29.0 0    33.6 0     4.0 0    53.4 0   990.0 0
 2016 169  6 17 23 32 23.533  70.91   268.1 0    75.4 0   689.7 0    58.2 0   366.9 0   303.9 0   303.5 0   459.2 0   302.9 0   303.0 0    17.5 0   121.3 0   208.4 0   -92.2 0   116.2 0    29.0 0    34.1 0     3.5 0    62.8 0   990.1 0
 2016 169  6 17 23 33 23.550  71.09   264.4 0    74.5 0   686.0 0    57.8 0   366.3 0   303.9 0   303.5 0   459.3 0   302.9 0   303.0 0    17.2 0   119.5 0   205.6 0   -93.0 0   112.6 0    29.0 0    33.6 0     4.2 0    65.6 0   990.1 0
 2016 169  6 17 23 34 23.567  71.28   261.1 0    73.8 0   683.3 0    57.3 0   365.8 0   303.9 0   303.5 0   458.9 0   302.9 0   303.0 0    16.9 0   118.0 0   202.9 0   -93.1 0   109.8 0    28.9 0    34.2 0     3.6 0    57.9 0   990.1 0
 2016 169  6 17 23 35 23.583  71.46   259.1 0    73.5 0   685.0 0    57.1 0   365.5 0   303.9 0   303.5 0   459.1 0   302.9 0   303.0 0    16.6 0   117.2 0   201.3 0   -93.7 0   107.7 0    28.9 0    35.1 0     3.4 0    57.7 0   990.1 0
 2016 169  6 17 23 36 23.600  71.64   255.6 0    72.9 0   682.7 0    56.7 0   365.5 0   303.9 0   303.5 0   458.7 0   302.9 0   303.0 0    16.2 0   115.7 0   198.9 0   -93.2 0   105.7 0    28.9 0    35.5 0     2.6 0    52.2 0   990.1 0
 2016 169  6 17 23 37 23.617  71.83   252.6 0    72.1 0   681.3 0    56.3 0   365.0 0   303.9 0   303.5 0   458.9 0   302.9 0   303.0 0    15.9 0   114.4 0   196.7 0   -93.8 0   102.8 0    28.9 0    37.0 0     2.9 0    49.9 0   990.1 0
 2016 169  6 17 23 38 23.633  72.01   249.6 0    71.4 0   679.7 0    56.1 0   365.1 0   303.9 0   303.5 0   458.9 0   302.9 0   303.0 0    15.6 0   113.2 0   194.6 0   -93.8 0   100.8 0    28.9 0    36.9 0     2.9 0    54.1 0   990.0 0
 2016 169  6 17 23 39 23.650  72.20   246.6 0    70.8 0   678.0 0    55.6 0   364.7 0   303.8 0   303.4 0   458.9 0   302.9 0   303.0 0    15.3 0   111.8 0   192.2 0   -94.2 0    98.0 0    28.9 0    36.5 0     3.5 0    53.0 0   990.1 0
 2016 169  6 17 23 40 23.667  72.38   243.3 0    70.0 0   676.0 0    55.3 0   364.5 0   303.8 0   303.4 0   458.8 0   302.9 0   303.0 0    15.0 0   110.4 0   189.9 0   -94.4 0    95.5 0    28.8 0    34.0 0     4.1 0    51.0 0   990.1 0
 2016 169  6 17 23 41 23.683  72.56   239.5 0    69.2 0   672.3 0    54.9 0   363.6 0   303.8 0   303.4 0   457.1 0   302.9 0   302.9 0    14.7 0   108.8 0   187.1 0   -93.5 0    93.6 0    28.8 0    32.6 0     4.5 0    51.0 0   990.1 0
 2016 169  6 17 23 42 23.700  72.75   235.8 0    68.6 0   668.5 0    54.6 0   363.5 0   303.8 0   303.3 0   456.3 0   302.9 0   302.9 0    14.4 0   107.3 0   184.3 0   -92.8 0    91.5 0    28.8 0    32.6 0     4.0 0    47.6 0   990.1 0
 2016 169  6 17 23 43 23.717  72.93   232.3 0    67.9 0   665.1 0    54.2 0   363.2 0   303.8 0   303.3 0   455.6 0   302.8 0   302.9 0    14.0 0   105.8 0   181.5 0   -92.3 0    89.2 0    28.7 0    31.9 0     5.0 0    40.4 0   990.1 0
 2016 169  6 17 23 44 23.733  73.11   229.4 0    67.5 0   662.8 0    54.1 0   363.0 0   303.7 0   303.3 0   454.9 0   302.8 0   302.8 0    13.8 0   104.5 0   179.2 0   -91.9 0    87.2 0    28.7 0    32.1 0     4.6 0    50.2 0   990.2 0
 2016 169  6 17 23 45 23.750  73.29   226.5 0    66.8 0   661.3 0    53.7 0   363.2 0   303.7 0   303.2 0   454.6 0   302.8 0   302.8 0    13.5 0   103.3 0   177.0 0   -91.4 0    85.6 0    28.7 0    31.6 0     5.2 0    62.3 0   990.2 0
 2016 169  6 17 23 46 23.767  73.48   223.3 0    66.0 0   658.4 0    53.5 0   363.2 0   303.6 0   303.2 0   454.7 0   302.7 0   302.8 0    13.2 0   102.0 0   174.7 0   -91.5 0    83.2 0    28.7 0    31.2 0     5.2 0    62.4 0   990.2 0
 2016 169  6 17 23 47 23.783  73.66   220.3 0    65.4 0   656.0 0    53.4 0   363.4 0   303.6 0   303.2 0   454.0 0   302.7 0   302.8 0    12.9 0   100.7 0   172.6 0   -90.6 0    82.0 0    28.7 0    31.1 0     4.3 0    58.9 0   990.3 0
 2016 169  6 17 23 48 23.800  73.84   217.0 0    64.5 0   652.4 0    53.0 0   363.8 0   303.6 0   303.1 0   453.3 0   302.7 0   302.7 0    12.6 0    99.3 0   170.1 0   -89.5 0    80.6 0    28.7 0    30.9 0     4.5 0    62.8 0   990.3 0
 2016 169  6 17 23 49 23.817  74.02   213.1 0    63.7 0   646.1 0    52.7 0   363.7 0   303.6 0   303.1 0   453.7 0   302.7 0   302.7 0    12.3 0    97.5 0   166.9 0   -90.0 0    76.9 0    28.7 0    30.2 0     4.7 0    58.7 0   990.3 0
 2016 169  6 17 23 50 23.833  74.20   209.7 0    62.6 0   641.6 0    52.7 0   364.1 0   303.5 0   303.1 0   453.3 0   302.6 0   302.7 0    12.0 0    96.1 0   164.8 0   -89.2 0    75.7 0    28.8 0    30.0 0     4.4 0    61.5 0   990.3 0
 2016 169  6 17 23 51 23.850  74.39   206.4 0    61.7 0   637.2 0    52.3 0   363.9 0   303.5 0   303.1 0   452.6 0   302.6 0   302.7 0    11.7 0    94.6 0   162.1 0   -88.7 0    73.4 0    28.8 0    30.9 0     4.0 0    57.5 0   990.3 0
 2016 169  6 17 23 52 23.867  74.57   202.9 0    61.1 0   632.7 0    52.0 0   364.1 0   303.5 0   303.1 0   453.1 0   302.6 0   302.7 0    11.5 0    93.0 0   159.2 0   -89.0 0    70.2 0    28.7 0    31.4 0     4.8 0    54.1 0   990.3 0
 2016 169  6 17 23 53 23.883  74.75   199.4 0    60.3 0   629.1 0    51.7 0   364.2 0   303.5 0   303.0 0   452.6 0   302.6 0   302.7 0    11.2 0    91.7 0   156.9 0   -88.4 0    68.6 0    28.8 0    31.7 0     3.8 0    56.5 0   990.3 0
 2016 169  6 17 23 54 23.900  74.93   196.2 0    59.6 0   625.0 0    51.3 0   364.1 0   303.4 0   303.0 0   452.4 0   302.6 0   302.6 0    10.9 0    90.3 0   154.2 0   -88.3 0    65.9 0    28.7 0    33.0 0     4.0 0    60.3 0   990.3 0
 2016 169  6 17 23 55 23.917  75.11   192.9 0    59.0 0   621.1 0    51.0 0   363.7 0   303.4 0   303.0 0   452.3 0   302.5 0   302.6 0    10.7 0    88.9 0   151.7 0   -88.6 0    63.0 0    28.6 0    33.7 0     3.8 0    54.7 0   990.3 0
 2016 169  6 17 23 56 23.933  75.29   189.7 0    58.1 0   617.0 0    50.6 0   363.4 0   303.4 0   302.9 0   451.9 0   302.5 0   302.5 0    10.5 0    87.3 0   149.1 0   -88.4 0    60.7 0    28.5 0    34.8 0     2.8 0    52.3 0   990.3 0
 2016 169  6 17 23 57 23.950  75.47   186.5 0    57.2 0   613.5 0    50.2 0   363.5 0   303.4 0   302.9 0   452.4 0   302.5 0   302.5 0    10.2 0    85.9 0   146.9 0   -88.9 0    58.1 0    28.5 0    34.2 0     3.7 0    54.5 0   990.3 0
 2016 169  6 17 23 58 23.967  75.65   183.1 0    56.3 0   609.0 0    49.8 0   363.6 0   303.3 0   302.9 0   452.5 0   302.5 0   302.5 0    10.0 0    84.5 0   144.5 0   -88.9 0    55.5 0    28.5 0    33.8 0     3.5 0    60.3 0   990.3 0
 2016 169  6 17 23 59 23.983  75.83   180.1 0    55.6 0   605.8 0    49.5 0   363.7 0   303.3 0   302.9 0   452.4 0   302.4 0   302.5 0     9.8 0    83.2 0   142.2 0   -88.6 0    53.6 0    28.5 0    33.4 0     3.7 0    62.5 0   990.3 0
